id,created_at,name
2,,Web Monetization 101 - how to start (building)?
3,,How to enhance peer2peer learning with peer2peer payments?
4,,Lessons learned from past GftW projects
5,2022-04-28T15:11:52.000Z,Web Monetized tipping
6,,Accessibility in Web Design & Development
7,2022-03-09T18:38:02.000Z,What is Rafiki and how can it help my project?
8,2022-03-09T18:38:02.000Z,How to develop a reactive & modular web app with Vue.js
10,,"What defines ""work"" online?"
11,,What is a payment pointer and how do I set one up?
12,,The history and philosophy of Web Monetization
13,2022-03-11T14:42:00.000Z,Building with Glitch
14,2022-03-11T14:42:00.000Z,Facilitation skills
17,,How to define a target audience for a Web Monetization innovation or user research?
18,2022-04-28T15:11:14.000Z,Going from ILP testnet to mainnet
19,2022-04-28T15:11:14.000Z,Building Web Apps
20,,Ways to web monetize your work: examples from the community
21,2022-04-28T15:11:16.000Z,Digital identity and Web Monetization
22,2022-04-28T15:11:16.000Z,pop culture
24,2022-04-28T15:11:36.000Z,How to start a web monetized website
25,2022-04-28T15:11:36.000Z,Events and Campaigns
27,,Daily Hacks for Smarter Living
29,2022-04-28T15:11:53.000Z,JavaScript
31,2022-04-28T15:12:21.000Z,fundraising
32,2022-04-28T15:12:21.000Z,Challenges on collaborative projects
34,2022-04-28T15:12:26.000Z,how to talk about monetization with other stakeholders
35,2022-04-28T15:12:26.000Z,web design to develop monetization
37,2022-04-28T15:12:29.000Z,"How to build a community when you're terrible at social media, and an introvert."
38,2022-04-28T15:12:29.000Z,"Technical development of web monetization, the hard way (or how to bash your head against pointers)"
39,2022-04-28T15:12:29.000Z,"Open data, open research, and data probity in research"
41,2022-04-28T15:12:37.000Z,"Language, decolonial perspectives"
42,2022-04-28T15:12:37.000Z,earth-based paradigms
44,2022-04-28T15:12:56.000Z,"how to do receipts and node.js direct, not express.js"
45,2022-04-28T15:12:56.000Z,Host your own website with RPi and gate keep remote control of the RPi with Web Monetization.
47,2022-04-28T15:13:08.000Z,Growing a community
49,2022-04-28T15:14:36.000Z,Developing a multi-stakeholder project using Web Monetisation
51,2022-04-28T15:17:07.000Z,Other modes by which people are funding their digital resources.
52,2022-04-28T15:17:07.000Z,Reaching and building niche audiences around your projects.
54,2022-05-11T20:22:09.000Z,how to promote my writing without feeling like a spammer
55,2022-05-11T20:22:09.000Z,how to create a Web Monetized website backed by a Solid POD
57,,how to do receipts and node.js direct
58,,not express.js
59,,How to build a community when you're terrible at social media
60,,and an introvert.
61,,Language
62,,decolonial perspectives
63,2022-06-25T18:40:42.000Z,How to support someone when they are in a bad mood
64,2022-06-25T18:40:42.000Z,How to plant and nuture a 'digital garden' style online workspace
65,2022-06-25T18:40:42.000Z,How to nurture a listening culture
66,2022-06-25T18:40:42.000Z,How to make a Gantt Chart
67,2022-06-25T18:40:42.000Z,How to develop a Qigong practice
68,2022-06-25T18:40:42.000Z,Practical tips for using Obsidian notetaking app
